date,open,high,low,close,VWAP,volume,Change Percent,Change,Trade Value
2020/5/29,95.5546,96.0583,93.729,94.2471,94.7126,26524824,-2.554,-2.4697,2591816650
2020/6/1,94.6733,96.3793,94.3149,95.4965,95.667,15175467,1.326,1.2494,1494223910
2020/6/2,97.1237,97.2593,94.8453,95.8161,96.0201,21179324,0.335,0.319613,2090041380
2020/6/3,98.3827,101.6176,97.8791,100.9881,100.4207,25912786,5.398,5.1719,2672818900
2020/6/4,100.5522,103.2544,99.5547,103.0898,102.255,26767072,2.081,2.1017,2816945440
2020/6/5,111.3125,112.1261,106.0825,107.729,107.7611,42221859,4.5,4.6392,4675270520
2020/6/8,109.8404,110.5958,108.4167,109.8791,109.3934,24849521,1.996,2.1501,2794256890
2020/6/9,107.1673,108.1164,105.5789,107.0607,106.9181,16998077,-2.565,-2.8184,1869837850
2020/6/10,106.9832,107.0268,102.5183,102.7217,104.1384,24808690,-4.053,-4.339,2656208440
2020/6/11,96.8815,98.3827,93.5014,94.1503,95.8947,36188133,-8.344,-8.5714,3563999120
2020/6/12,97.5401,97.9469,94.2665,96.7266,96.0992,24847593,2.736,2.5763,2457535900
2020/6/15,93.3852,98.2375,92.8525,98.0631,96.2362,22123470,1.382,1.3366,2189969800
2020/6/16,102.0534,102.3537,96.1842,98.8476,99.3768,22161662,0.8,0.784504,2264944060
2020/6/17,99.3028,99.3125,96.0873,96.3488,97.2641,15615730,-2.528,-2.4988,1562289660
2020/6/18,95.5643,97.3561,95.0413,95.8258,95.9561,16542324,-0.543,-0.523003,1633460660
2020/6/19,97.3658,97.4336,93.6854,94.7314,95.0374,40322181,-1.142,-1.0944,3955421630
2020/6/22,94.189,94.867,93.5014,93.7048,94.0583,16184557,-1.084,-1.0266,1571811460
2020/6/23,95.8549,96.8234,94.7701,94.8476,95.3719,15360209,1.22,1.1429,1512454280
2020/6/24,93.7048,93.7919,91.3416,91.6805,92.2266,22887863,-3.339,-3.1671,2179273950
2020/6/25,91.3803,95.1188,91.2953,94.8767,93.8702,25660076,3.486,3.1961,2486106310
2020/6/26,92.1164,92.3682,89.1043,89.6757,90.101,41871942,-5.482,-5.201,3900457350
2020/6/29,90.4602,91.5159,89.2786,90.0728,90.2867,18441435,0.443,0.397095,1719100210
